hgnc_symbol,OS P-Value,OS HR
ABCA2,0.0171,0.5358304173
NPIPB8,0.0499,0.4092744704
ANKRD20A8P,0.0394,0.7598293751
TBC1D3H,0.0231,0.6811158001
SNORD113-1,0.0145,1.3341000385
SNORD113-4,0.0187,1.5099881867
SNORD113-5,0.0067,1.6146836022
SNORD113-7,0.0175,1.5511823918
SNORD113-8,0.0104,1.5554744741
SNORD114-12,0.0458,1.4894600605
SNORD114-13,0.0165,1.6606066398
SNORD114-14,0.0354,1.4410529616
SNORD114-16,0.0032,1.7278600204
SNORD114-17,0.0441,1.4725424548
SNORD114-22,0.0278,1.5335575122
SNORD114-24,0.0177,1.4095161333
SNORD114-27,0.0020,1.9565956083
SNORD114-28,0.0123,1.4573957677
PFN1P2,0.0162,2.2605259619
MIR668,0.0072,2.0318231862
MIR802,0.0193,1.302732704
SNORD116-11,0.0086,0.5834321675
SNORD115-17,0.0343,1.8304285916
SNORD115-18,0.0343,1.8304285916
SNORD115-19,0.0343,1.8304285916
SNORD116-29,0.0427,0.6902882032
MIR300,0.0144,1.7178614981
CDC42P3,0.0108,0.5860541491
CXorf28,0.0045,0.5708318142
ZNF37BP,0.0392,0.4116735269
TMEM262,0.0142,0.334046388
TSTD1,0.0402,0.6900615542
FAM27E3,0.0189,0.7509940326
NPIPB5,0.0138,0.4331572065
C2CD4D,0.0127,0.6109084008
ZNRF2P2,0.0147,0.5246329586
USP17L18,0.0255,1.5208047302
LINC00630,0.0163,1.732591016
ANKRD18CP,0.0185,0.636931689
NPIPA5,0.0160,0.6345263672
ERVMER34-1,0.0273,1.3870452829
IL10RB-AS1,0.0191,0.4972788975
MCF2L-AS1,0.0361,0.6382018434
MIR1288,0.0228,0.3879005087
MIR1226,0.0106,0.3886185879
MIR1304,0.0364,1.8587002001
NELFE,0.0184,0.4518502858
SNORA80B,0.0311,1.4247889412
DBET,0.0481,0.6521984089
FAM21EP,0.0448,0.6627070009
MIR1260B,0.0154,0.4296215109
MIR4321,0.0213,0.7088512665
UBE2Q2L,0.0081,0.6419918875
PRMT5-AS1,0.0332,2.8285982224
LUCAT1,0.0478,1.4935505242
ISPD-AS1,0.0249,1.8484768276
RAB30-AS1,0.0266,1.5850752874
SPAG5-AS1,0.0477,4.4897356531
TCEB3-AS1,0.0176,1.633978001
DLG1-AS1,0.0273,3.0513825936
SNHG23,0.0201,1.4358794299
MUC22,0.0360,1.6011321567
NT5C1B-RDH14,0.0262,3.3662607146
MIA-RAB4B,0.0118,0.5831633509
BIVM-ERCC5,0.0174,0.1634639614
MIR4498,0.0222,1.7406945395
MIR4746,0.0493,0.6448446162
MIR4518,0.0083,0.2873331747
MIR4745,0.0188,0.5517946659
TIMM23B,0.0441,0.2591115623
CERS6-AS1,0.0182,2.3830447312
DPYD-AS2,0.0422,1.8211116556
B4GALT4-AS1,0.0471,1.7775450432
TM4SF19-AS1,0.0370,1.4089409452
CACNA1C-AS4,0.0043,2.3367789893
RPS6KA2-IT1,0.0423,1.7810540596
LINC01355,0.0273,1.5879688241
PANDAR,0.0117,0.499668692
BLACAT1,0.0337,0.3400823231
PVRIG2P,0.0288,0.3968904363
STAG3L5P-PVRIG2P-PILRB,0.0301,0.3380087444
ROR1-AS1,0.0282,0.5606687062
BEAN1-AS1,0.0390,0.7605607842
LINC01198,0.0107,0.7409747937
SNHG24,0.0353,1.541724819
LINC00945,0.0249,0.4860149421
MIR6511B1,0.0282,0.5538974767
MIR6737,0.0430,1.9823548346
MIR6751,0.0188,0.6793126014
MIR6771,0.0338,0.6245645726
MIR6838,0.0481,0.2992285116
MIR6865,0.0234,0.5175638154
MIR6876,0.0123,0.6135823245
MIR6818,0.0102,2.112014748
MIR6855,0.0365,0.5961575655
SVIL-AS1,0.0276,0.2872127537
