hgnc_symbol,PFS  HR,PFS P-Value
SERPINA3,0.9091841637,0.0250
ARHGEF9,0.5751618969,0.0023
SEL1L3,0.7738049079,0.0133
TSPYL4,0.6267619321,0.0162
KLHL18,2.2239504971,0.0398
WWC1,1.2939437608,0.0109
KIF13B,0.4776815951,0.0051
DPY19L1,0.6014421078,0.0069
SYNE1,0.6506565634,0.0330
TENC1,0.6435051568,0.0325
NUDCD3,0.5995280289,0.0410
SIRT3,0.4587104237,0.0167
TDRD7,1.4929927128,0.0205
CBX6,0.6480118332,0.0077
ISCU,0.4151271099,0.0068
CBX7,0.6487621448,0.0025
RIMBP2,1.1565018255,0.0121
NUP188,2.1920017365,0.0319
KAT6B,0.5381640665,0.0289
TNPO3,0.4542553088,0.0402
MAPK8IP2,1.1840135105,0.0443
ATP6V0A2,0.4658183195,0.0388
ARL2BP,0.5338946357,0.0276
CASP14,1.0624445987,0.0486
PDSS1,1.8910951901,0.0220
MKRN1,0.4924802216,0.0162
PHLDA3,0.757283244,0.0346
ZMYND8,0.5862359527,0.0317
CA14,1.1817600996,0.0114
SGK3,0.7232565322,0.0250
PRKD3,1.8358490002,0.0012
GSPT2,0.5891559872,0.0027
GABARAPL1,0.6036870922,0.0271
ARHGAP8,1.202524434,0.0046
IFIT5,0.6281303298,0.0152
TP53TG3,1.2721278435,0.0170
SUN2,0.5471459245,0.0051
RAB3GAP2,0.4478089693,0.0164
CFAP45,0.6807561667,0.0023
QPCT,1.2682163442,0.0035
SPDEF,1.2327463944,0.0133
SNORD82,1.4280402226,0.0415
SULT4A1,1.1795952563,0.0030
CHRDL2,1.194438138,0.0479
RNF19A,0.630076593,0.0484
SOSTDC1,1.0927901584,0.0358
SIN3A,0.4934348115,0.0289
KBTBD2,0.4222333019,0.0056
RWDD3,1.7083698296,0.0363
TMEM87A,0.5211327382,0.0310
PARS2,1.6161303257,0.0339
MMACHC,1.6221671651,0.0049
NGDN,2.0841425654,0.0206
TSKU,1.327749907,0.0325
DAK,2.0187389028,0.0062
PLEKHG3,1.5236387117,0.0132
OSBPL3,0.7410218129,0.0192
SS18L1,1.4052402366,0.0296
ZNF500,0.636950338,0.0115
KLK13,1.0921108902,0.0427
SERBP1,2.3617592167,0.0152
ZBTB20,0.6510459642,0.0486
SPATA31A7,1.1399878491,0.0431
TMEM251,1.6026652969,0.0120
DGCR5,1.1708442907,0.0494
TIAM2,0.6957250212,0.0246
LCE2B,1.077237257,0.0365
OR2M4,1.1541761789,0.0271
FBXW8,0.4357144385,0.0149
FBXO4,0.503806167,0.0020
MYCBP,1.7010411229,0.0493
PTPN18,0.5637629527,0.0438
SLC17A5,0.5806363988,0.0071
AGO1,2.3711509826,0.0462
ITGB1BP2,0.7365598517,0.0259
HAVCR1,0.8171149397,0.0191
RNU6-6P,1.2377982313,0.0453
RNU6-1,1.3375834676,0.0115
HBP1,0.4733322769,0.0207
NBEA,0.8122142529,0.0462
CYFIP2,0.7016624383,0.0032
ZBTB32,0.6622416158,0.0077
LAT,0.7240391631,0.0482
SND1,0.5315364798,0.0150
B9D1,0.7042868943,0.0067
CACNG5,1.20890378,0.0284
TAF5L,1.9884614514,0.0470
GLS2,0.6611313585,0.0400
IL17C,0.7277383017,0.0274
NMRK2,1.2411210345,0.0006
TNFRSF21,0.7891513499,0.0479
ERLEC1,0.7003696844,0.0499
CRCP,0.4112360062,0.0255
PGAP2,1.733637576,0.0399
RPS6KA6,1.1970243049,0.0263
EIF3K,1.8265210854,0.0366
RABGEF1,0.5436441715,0.0405
APOBEC3C,0.6924146606,0.0448
POLM,0.6175366551,0.0168
CECR2,1.2710415778,0.0026
PPP2R3B,0.7014877702,0.0186
ZC3H7A,0.3441134903,0.0017
RANGRF,0.5781020631,0.0304
DDX25,1.1587942576,0.0245
CLEC2D,0.6868607271,0.0463
ZDHHC1,0.6951489055,0.0318
SENP1,0.3018479694,0.0029
UBN1,0.3764275766,0.0098
ST8SIA5,0.8975108522,0.0415
PADI1,1.1313604473,0.0024
SLC25A24,2.8598981332,0.0046
CDIP1,1.7033632209,0.0102
MDFIC,0.6580198813,0.0137
PILRB,0.6497248927,0.0344
PACSIN1,0.8749757373,0.0464
LMCD1,0.659648228,0.0405
TBX21,0.8295090247,0.0092
RRM2B,0.6017648677,0.0249
IL21R,0.7831323086,0.0018
IL22,0.8564355868,0.0394
ITSN2,0.5484238657,0.0327
RDH8,1.1468451085,0.0061
NSDHL,1.9029743459,0.0228
DHH,0.7691093782,0.0030
PARD6A,0.7266116803,0.0123
HEBP1,1.3716481619,0.0377
CDON,1.7986199203,<.0001
CELA2B,0.6576509667,0.0115
LAP3,0.6489427176,0.0271
ZNF691,1.7207208056,0.0344
FAM135B,0.9080522284,0.0303
TXNDC11,0.4333475272,0.0046
RPS27L,0.5356468609,0.0080
KLHL5,0.4997374452,0.0059
ABHD5,1.5220005067,0.0468
RDH11,1.8505942275,0.0147
ASB3,0.2645658534,0.0018
IRAK4,0.6267118719,0.0477
DYNC1LI1,2.0634707197,0.0233
SLC45A2,1.1750356142,0.0120
ACP6,0.6885242774,0.0246
GLRX5,1.8999649876,0.0193
NT5C3A,0.5609096118,0.0033
MRPL37,2.2733305506,0.0100
ANKMY1,0.6444536794,0.0388
ZDHHC3,3.2323256803,0.0082
SLC22A17,0.8476604517,0.0496
KRCC1,0.6951280479,0.0480
MEX3C,0.5720742719,0.0333
ARL17A,0.8638232169,0.0274
POLK,0.5292650412,0.0489
UBE2J1,0.618739897,0.0488
CXXC5,0.7203055818,0.0169
TMEM138,2.098002703,0.0034
RAB6B,1.2560240948,0.0289
ARMCX3,0.5849773343,0.0032
UFM1,0.3267378391,0.0035
TMBIM4,0.634826896,0.0366
STYXL1,0.5739411767,0.0195
ZFR,0.3864900177,0.0233
NUB1,0.4398079089,0.0010
LSM8,0.5866495844,0.0334
PADI3,1.1425682901,0.0125
CYB5R1,2.1325517203,0.0054
UPB1,0.8318196957,0.0362
RAPGEF6,0.409625308,0.0021
GHRL,0.6806876249,0.0416
ARID4B,0.4890577612,0.0288
ERAP1,0.4090901296,0.0006
MYOZ2,0.7958825841,0.0371
CHIC1,0.6624291471,0.0257
UBASH3A,0.8645330193,0.0500
PANK1,1.527346232,0.0361
CLIC5,0.7609231146,0.0379
FXYD7,0.8430705427,0.0452
GPR84,0.7674863001,0.0170
IL20RA,1.1186393585,0.0315
FGFRL1,0.7773552052,0.0202
GPR87,1.238830639,0.0020
RAB4B,0.6572963481,0.0103
RAB24,0.6302893427,0.0491
SLCO1C1,1.1871766187,0.0353
LRRC3DN,1.2652373678,0.0265
CLIC6,0.7455998407,0.0040
GSAP,0.6789041547,0.0034
TLR9,0.8098224195,0.0490
UNC93A,1.1143206143,0.0109
CYTL1,1.1672485845,0.0157
WNT4,1.4055611852,0.0072
TERF2IP,0.5317375207,0.0167
STAG3L1,0.6432426989,0.0285
PRR13,0.5697643807,0.0309
FAM134B,0.7165201039,0.0222
XRN1,0.5084705972,0.0080
SPIN2A,0.6368529492,0.0219
ANKIB1,0.4031384729,0.0189
RNF216,0.2284686855,<.0001
PLEKHA5,1.2669206119,0.0334
CHPF2,0.6665419242,0.0175
FAM105A,0.7534014581,0.0095
NECAB2,1.2183405646,0.0035
ING3,0.5360145668,0.0328
UGT1A10,1.1138136762,0.0111
UGT1A8,1.0992847331,0.0308
UGT1A7,1.0850616443,0.0396
UGT1A9,1.1018120612,0.0201
DDX56,0.5703495841,0.0004
PARP14,0.7491019975,0.0424
UGT1A4,1.0879459338,0.0347
UGT1A1,1.0911030626,0.0261
UGT1A3,1.0934635858,0.0275
PCDHB18,0.8238767052,0.0367
TMEM106B,0.6449284885,0.0488
XAF1,0.8048706998,0.0322
LY6K,1.1647728075,0.0042
AHI1,0.6453020115,0.0149
SAMD9,0.6117963871,0.0017
GIPC2,1.200091895,0.0355
ZCCHC10,0.5608800369,0.0485
NDE1,0.6202055769,0.0397
GIN1,0.4633736034,0.0096
VPS13C,0.3795973435,0.0004
MFSD6,0.7052208206,0.0458
SYTL2,1.4083003616,0.0029
ESRP1,1.1547169438,0.0288
FAM46C,0.8318385066,0.0154
CC2D1A,0.7110049642,0.0273
PPP1R14D,1.2839889935,0.0169
EPS8L1,1.2112629152,0.0470
PALMD,1.270408052,0.0274
ALKBH5,0.5204693254,0.0297
ELOVL2,0.8829762421,0.0109
LAX1,0.8395360374,0.0231
TTC19,0.5404668765,0.0246
WHSC1L1,0.4663089145,0.0409
SLC41A3,1.8216864173,0.0271
PARP16,0.4527523021,0.0021
C14orf119,1.8959817376,0.0411
PTCD3,2.3368777536,0.0319
TAPBPL,0.5652523192,0.0062
AGGF1,0.4114369248,0.0088
MAGOHB,0.5155211517,0.0144
TMEM39B,2.0296212608,0.0261
FANCL,0.5144016551,0.0041
ANO10,1.8447177107,0.0248
SRBD1,0.467296414,0.0307
FAM90A1,0.8246122334,0.0317
INTS10,0.4292530533,0.0151
RNF220,2.3216504144,0.0095
STEAP3,0.8222080559,0.0498
ASXL2,0.4873091681,0.0224
PRR34,1.4244610657,0.0236
TMEM140,0.5680478467,0.0023
C4orf19,0.7743005838,0.0144
ACOXL,0.8594109133,0.0189
PI4K2B,0.6520170543,0.0309
LARP6,0.7872652893,0.0443
SYNJ2BP,2.2735661798,0.0394
CAMK2N1,0.8410906755,0.0454
CHST12,0.5605730534,0.0046
HES6,1.2266797005,0.0265
ASIC4,0.8744740043,0.0355
ZNF823,1.9695234384,0.0084
GOLGA2P5,0.7236925387,0.0097
OTUD5,0.3050371075,0.0017
PPP1R9A,0.8337563739,0.0052
OTUB1,1.9486624927,0.0243
MTMR8,0.7907510515,0.0424
PRR5,1.4595327565,0.0389
ASAP3,1.3258865007,0.0449
THUMPD1,0.4668554356,0.0257
SYBU,1.2312958879,0.0414
BCAS4,0.8135127009,0.0372
TMEM127,0.487251232,0.0213
GPATCH2L,2.1413398992,0.0433
LIMS2,1.2820246751,0.0283
RADIL,1.2348961118,0.0162
IPO9,1.7795592382,0.0401
NDC1,2.0377993625,0.0141
BTBD7,2.9212984965,0.0115
COA1,0.3590320128,0.0037
AGK,0.5287649461,0.0430
C1orf106,1.1625557751,0.0127
MBD5,0.6021612068,0.0286
CSGALNACT1,0.6407933338,0.0002
METTL2B,0.4979937702,0.0267
CBWD1,0.7121159078,0.0217
LMO3,1.1060433786,0.0439
KMT2E,0.4933538851,0.0113
NXT2,0.7864415088,0.0375
DMAP1,1.7364862775,0.0325
SLC25A40,0.6260049903,0.0485
BCAP29,0.5973360914,0.0056
NXF5,0.8405275282,0.0289
KLHL4,0.8171918016,0.0202
PCDHB14,0.7165034213,0.0025
PCDHB13,0.8020295905,0.0418
PCDHB10,0.8705423622,0.0395
PCDHB9,0.8442960453,0.0087
CRTAM,0.8034534407,0.0069
TMX4,0.6579309526,0.0078
CHST7,0.8013757389,0.0282
ERO1LB,0.6041494617,0.0154
TMPRSS4,1.1221548798,0.0090
ZC3HAV1,0.4938414907,0.0137
C15orf39,0.5883250125,0.0134
THAP10,0.7169947919,0.0277
MAP3K7CL,0.6450039024,0.0001
C1GALT1,0.6661061629,0.0262
FEM1C,0.5557502868,0.0340
SMCO4,0.7897122089,0.0432
ARNTL2,0.7709834917,0.0069
MFF,0.5761596291,0.0276
C5orf15,0.5056961327,0.0118
C14orf132,1.2412636084,0.0157
PRDM8,0.7703974568,0.0314
BBX,0.434625573,0.0023
PLSCR3,0.6940341999,0.0416
CASS4,0.7740409864,0.0165
CYSLTR2,0.8354776322,0.0300
HRASLS,1.1562892863,0.0072
RAB25,1.1170592012,0.0136
PGLYRP4,1.1067051851,0.0236
ZNF695,1.1678406091,0.0387
CHMP1B,1.752496568,0.0322
MAN1C1,0.7008265205,0.0381
PELI2,1.5350515341,0.0229
PELI1,0.5587868353,0.0315
ASPHD2,0.7364454602,0.0282
ZNFX1,0.5676744966,0.0456
SMEK2,0.4535773328,0.0437
ZNF630,0.6710712648,0.0077
ABHD6,1.5735920629,0.0272
MIF4GD,0.6139705255,0.0012
RHBDD2,0.6463971518,0.0332
PPM1H,1.3059283029,0.0251
SHROOM4,0.6473969009,0.0072
NLN,1.7839382491,0.0193
ESYT2,0.5995142055,0.0348
AHRR,1.483173709,0.0252
ARHGAP31,0.5398799695,0.0120
SEMA6A,1.2365876485,0.0444
STAMBPL1,0.6640912534,0.0075
ARRDC3,0.6528394437,0.0137
KIAA1377,0.7298058707,0.0069
TRMT5,2.7035380938,0.0124
KIAA1467,1.6377750101,0.0179
STIM2,0.610839517,0.0351
KLHL1,1.1746393793,0.0306
PHF12,0.3061818905,0.0220
UVSSA,0.5942976226,0.0101
HCN3,1.5485676435,0.0056
ZBTB4,0.5710521779,0.0384
RNF213,0.6351821477,0.0399
GPAM,1.5668419621,0.0315
CACHD1,1.532267315,0.0019
LRRC4C,0.7677432823,0.0105
TNRC6C,0.5401733268,0.0241
FANCM,2.5026141469,0.0098
CPNE5,0.6952131993,0.0005
SFMBT2,0.6958347309,0.0171
SEMA4G,1.5388560505,0.0343
PCDHB16,0.778095015,0.0017
GATAD1,0.4581650372,0.0054
GRHL3,1.1385322235,0.0202
ZNF410,2.3601819284,0.0340
SQRDL,0.6597978061,0.0029
PLEKHB1,0.8484724536,0.0134
IL22RA1,1.1552759545,0.0058
IL21,0.8603546829,0.0304
CARD18,1.1090041473,0.0393
GPBP1L1,2.2282934217,0.0378
EDA2R,0.8179909308,0.0017
EXOC4,0.4608883449,0.0350
SLC5A7,1.2285984009,0.0112
APOBEC3G,0.7583826055,0.0131
HPSE2,1.1062155657,0.0487
C2orf43,0.4643856764,0.0238
ELAC2,0.378911384,0.0172
KCNK15,0.8464878839,0.0311
CELA2A,0.7806253777,0.0027
THADA,0.4532646085,0.0456
CHP2,1.1173997259,0.0057
MMP27,1.1009468037,0.0457
C19orf33,1.1152583649,0.0453
GOLPH3,0.4172651176,0.0129
POPDC2,0.5746652517,0.0073
NPFFR1,0.8490680201,0.0370
RTP4,0.7995900622,0.0442
IFIH1,0.7600829653,0.0287
ERAP2,0.7491865549,0.0152
HERPUD2,0.3368611931,0.0028
FBRS,0.6481974393,0.0390
NXN,1.34726073,0.0262
ZMAT3,0.6965683997,0.0299
CDH22,1.1988104973,0.0185
DNAI2,0.8336143382,0.0389
TEKT3,0.8037823501,0.0148
CTAGE1,0.7136677946,0.0430
MARC1,1.2337071584,0.0069
PARP12,0.7447997967,0.0250
CREB3L2,0.5585769036,0.0066
FNDC3B,0.490528722,0.0110
TBC1D15,0.4850570116,0.0297
LMF1,0.757653263,0.0095
CYP3A43,0.7434185973,0.0028
ELOVL1,1.7541083156,0.0432
FBXL17,0.4649711316,0.0270
AIDA,0.6375590036,0.0038
ARMCX5,0.4019595874,0.0006
METTL4,0.5461204368,0.0471
PCDH20,1.0946870778,0.0315
CASD1,0.6525528547,0.0323
RASAL3,0.8238421371,0.0379
NT5DC2,1.4595012592,0.0399
MRPS15,2.1163493038,0.0268
MRPS6,0.6741310553,0.0216
REEP1,1.2181626342,0.0362
CDK15,1.2125496439,0.0154
RTN4R,1.3104513698,0.0049
COA7,1.75698749,0.0235
WNK2,1.2216972188,0.0113
GRAMD3,0.6351980381,0.0111
KCTD14,0.8546560044,0.0319
CYP4F12,1.1361093851,0.0367
OTUB2,1.3774201688,0.0156
C7orf49,0.4818551274,0.0055
MIS12,0.5863616665,0.0419
C7orf25,0.5057412433,0.0014
ZNF655,0.5675627495,0.0413
ERI3,2.3310559512,0.0087
PVRIG,0.7225296676,0.0496
ZFYVE21,2.3588630714,0.0005
TRPM8,0.9003930026,0.0141
PRRG4,0.7751522955,0.0054
C1orf50,2.3934212432,0.0142
WDR77,3.3466097442,0.0011
DHX58,0.6162340406,0.0091
PRR15L,0.8114856763,0.0450
IRX3,1.2311882446,0.0438
MMEL1,1.2083096142,0.0317
FCRL2,0.907046091,0.0262
BCL2L14,0.7507557365,0.0311
PAGR1,0.432587129,0.0085
TTC13,0.4841067413,0.0198
NKAP,0.450898823,0.0057
SPAG16,0.7306956395,0.0254
RNASEH2B,0.6426700343,0.0145
SH3TC2,0.8304834525,0.0233
EFTUD1,0.4269178632,0.0319
FAM184A,0.8043317023,0.0379
SCRN3,0.4425427697,0.0164
ARSJ,0.7572053768,0.0027
HECTD3,1.8538687835,0.0178
PARP8,0.7121789988,0.0217
GAL3ST4,0.7047846143,0.0457
LRRK1,0.6119413062,0.0366
MORC4,0.6917752005,0.0456
IGFLR1,0.7537650194,0.0498
LIN28A,1.1875786259,0.0046
SH3D21,1.2541966835,0.0211
NARS2,1.4154991382,0.0338
TXNDC15,0.4005807893,0.0048
MICALL2,0.8205337276,0.0211
LRRC31,1.1805410812,0.0264
RERGL,1.1656503466,0.0101
ZMYM1,2.1249679372,0.0174
KDM8,0.7055461946,0.0383
ZDHHC11,1.2904471079,0.0230
BAALC,0.8015610759,0.0008
ZC3H14,3.6402265677,0.0081
L2HGDH,1.9400091099,0.0139
PLEKHS1,0.8672128663,0.0216
TRMT2B,0.2212496236,<.0001
OBFC1,0.4878980967,0.0169
PCNXL2,0.7284887979,0.0156
C14orf159,0.5749772027,0.0206
TMEM62,0.5475955529,0.0065
MAP3K19,0.7485376538,0.0210
CCDC176,1.6421650983,0.0217
LRRC8E,1.33053256,0.0342
PQLC1,1.5671972392,0.0452
CTC1,0.511451816,0.0058
KIAA0226L,0.7648720572,0.0365
RNF34,0.3176909724,0.0284
SPG11,0.3543877667,0.0034
CCDC92,0.386305065,0.0011
COQ10B,0.6075047191,0.0388
ORAI2,0.6901368433,0.0034
PREX2,1.4303993807,0.0163
C16orf70,2.3886320114,0.0104
TRIM45,1.487670593,0.0217
FER1L4,0.8323707252,0.0196
GKAP1,0.7548887992,0.0372
PNPLA3,1.15670009,0.0378
AKNA,0.7582381663,0.0385
ARHGAP39,1.3512579113,0.0392
THAP7,0.6252666844,0.0326
APOL6,0.7346156544,0.0210
APOL3,0.7995290056,0.0346
ZBP1,0.8087958053,0.0073
OR2C3,1.1833493066,0.0042
HM13,0.5601276532,0.0480
WBSCR16,0.4472843839,0.0099
TRIM8,0.5183547776,0.0162
LBH,0.6822923245,0.0104
TSC22D4,0.5791915663,0.0070
TRIM56,0.6649883699,0.0055
SPRY4,0.8098992676,0.0108
SLIRP,1.5893876001,0.0483
FCRL5,0.9065407786,0.0356
FCRL4,0.8985103139,0.0459
CCDC70,1.1657360468,0.0486
LRRC48,0.6432426878,0.0498
KATNAL2,0.6985417722,0.0054
SCRT1,1.2952651429,0.0087
RTBDN,1.1927829223,0.0453
UCK1,1.6059088133,0.0441
CCM2,0.5369747871,0.0494
FAM103A1,0.7100312653,0.0487
CCDC3,1.2848439779,0.0182
PARP9,0.6828595192,0.0094
FERMT3,0.7207617374,0.0275
USP26,1.2005393634,0.0233
TM2D2,0.788468815,0.0256
TSPAN10,1.2490554013,0.0028
SLC25A2,0.7388102344,0.0045
NACAP1,0.6782177084,0.0113
TEX35,1.2070421645,0.0098
RAB6C,0.768962675,0.0372
SLC41A2,0.6781942527,0.0145
USP42,0.3270861229,0.0010
NLRC5,0.7273419502,0.0139
LOXL4,0.8664925847,0.0310
POLR1B,0.5971409957,0.0040
SLA2,0.7814568641,0.0374
MYH16,0.7935479171,0.0406
TBC1D3F,0.692930745,0.0011
MED10,0.5127852124,0.0382
GARNL3,1.4307673177,0.0466
CAMKK1,1.505459271,0.0180
HSDL2,2.0744575049,0.0154
C9orf64,0.60025502,0.0293
C9orf89,0.6317866596,0.0083
SLC25A33,1.6406144855,0.0315
TMEM175,0.5791686005,0.0300
COG8,0.5350103922,0.0043
FRMPD3,0.8235120435,0.0227
BRSK1,0.80137611,0.0081
ZMAT1,0.8081585563,0.0249
PPAPDC1B,0.4382456133,0.0020
C15orf41,1.7994766226,0.0389
PARD6G,1.30137053,0.0360
AFAP1L2,0.7609747524,0.0024
IL1F10,1.1882114531,0.0391
GLYR1,0.36421165,0.0476
GLIS2,0.6650578205,0.0096
SLC9A7,0.7602459822,0.0162
SPATA22,1.2004163142,0.0215
BEX2,0.7645260311,0.0099
TRIM51,0.8866997657,0.0156
NFKBID,0.6658439758,0.0294
ARHGAP5-AS1,1.3678479675,0.0024
TRIM52,0.5198569935,0.0090
HAVCR2,0.7700001088,0.0428
MFSD2A,1.2548229075,0.0265
HSH2D,0.8908221983,0.0484
TOX2,0.7503361861,0.0014
FRMD5,0.7189104526,0.0001
PHYKPL,0.6031198547,0.0418
TMEM141,1.5135509246,0.0380
TRIM5,0.6702697398,0.0284
STRIP1,2.9427569703,0.0025
SNORD14D,1.2736055987,0.0167
SNORD14E,1.2636602334,0.0282
DNAJC14,0.2797628127,0.0077
ZCRB1,0.5619779728,0.0039
KIAA1755,0.8079709702,0.0154
TSPYL5,0.8361361046,0.0192
CIPC,2.1266389957,0.0214
SERPINB12,1.0809433667,0.0391
WNT3A,1.1849196937,0.0332
NAV2,1.3330831895,0.0359
PPP1R3F,0.5170104248,0.0002
TRIM15,1.1638765002,0.0441
ZNF30,2.094869911,0.0072
PHLDB2,1.6667316923,0.0008
BTBD6,1.5851252975,0.0360
IFT20,0.4473074575,0.0250
C15orf57,0.3798215393,0.0110
YIF1B,1.3988956339,0.0457
MLIP,1.1301562626,0.0080
ZFAND2A,0.4881987547,0.0146
COX19,0.54778187,0.0346
TGIF2LY,1.1769390846,0.0353
LRRC16B,1.3317418547,0.0371
ADCK2,0.6037008271,0.0214
FMNL3,0.4171818578,0.0037
TRIM47,0.68087722,0.0156
L3MBTL4,0.7673993347,0.0062
TIGD7,0.6289970851,0.0246
NUP210L,0.7413445523,0.0375
R3HDM4,0.676365783,0.0176
DERL3,0.7823294767,0.0477
SESTD1,1.6009703372,0.0373
BTF3L4,1.9850004954,0.0260
PCED1B,0.7985658723,0.0272
ANKRD44,0.5756134729,0.0158
C12orf65,0.6574034355,0.0446
NXPE3,0.6762603818,0.0168
CHMP7,0.533619515,0.0454
EXOC3L4,0.8850623618,0.0393
COG7,0.3885329078,0.0400
CTBP1-AS2,0.7646604814,0.0479
DAPL1,1.1013917185,0.0290
LMBRD2,0.4412102209,0.0058
ATXN3L,0.8792710794,0.0452
ASB16,0.6332194612,0.0151
ZNF764,0.7167925429,0.0103
FAM114A1,0.7525538114,0.0398
OTOP2,1.2030158925,0.0221
DNER,1.0994457341,0.0351
HELB,0.6828290334,0.0356
REEP6,1.2923879426,0.0158
B3GNT7,0.7446822537,0.0095
NT5C1B,0.6949925173,0.0064
NEURL3,0.8223641358,0.0473
DMKN,1.134608511,0.0086
SP140L,0.6286143501,0.0009
TPTE2,0.8403828578,0.0312
ARHGAP18,0.5918651815,0.0269
ATPIF1,2.0222865686,0.0260
TTYH2,1.266579909,0.0403
POM121L2,1.2094248794,0.0367
ZNF101,0.5991676196,0.0173
LENG9,0.6372409321,0.0148
BMS1P20,0.6088531763,0.0100
PRRT2,0.7543313294,0.0207
SAT2,0.5371922061,0.0418
TP53RK,0.7855268946,0.0334
CFAP36,0.4427909773,0.0410
CASC4,0.5062013708,0.0018
GLCCI1,0.4974880228,0.0001
SMIM12,2.1990774873,0.0289
ODF3,0.7980489685,0.0222
TOE1,2.0290462835,0.0213
TRIM9,0.8672283748,0.0197
MAL2,1.1020935734,0.0210
MIR155HG,0.7442592122,0.0137
CARD16,0.7978119475,0.0357
MBD6,0.5646891899,0.0261
RNF157,0.7707806101,0.0025
FHAD1,0.8250826167,0.0236
OSBPL9,1.6352767982,0.0350
OSBPL10,0.733905802,0.0188
C1QTNF2,1.3409746392,0.0287
SMIM19,0.6566457126,0.0407
GPRASP2,0.710780045,0.0413
MB21D1,0.6732345852,0.0328
FCRL1,0.8985954205,0.0261
FCRL3,0.9072702345,0.0467
GBP4,0.8625349763,0.0481
NOSTRIN,1.3118166829,0.0350
RNF166,0.5928273256,0.0060
SLC22A12,1.1911580019,0.0409
ACSM1,0.8027532453,0.0012
GRIN3B,0.8226170334,0.0344
ARAP2,0.7317347647,0.0105
AGAP2,0.6652618783,0.0248
DCD,1.0741198762,0.0499
MRGPRX2,1.1492017227,0.0377
RFFL,0.6851674769,0.0303
ZNF488,1.1627023839,0.0479
AGAP11,1.4697048699,0.0005
SFR1,0.7467694445,0.0054
OR5P2,1.1205409004,0.0091
TMEM45B,1.1696946244,0.0456
DEPDC4,1.5664037326,0.0155
LRRK2,0.6378411897,0.0022
SDR9C7,1.1143819578,0.0196
RHEBL1,0.5434245985,0.0006
ZNF641,0.4539807714,0.0444
PLD4,0.7712877157,0.0152
ACOT4,1.3587075681,0.0170
SLC24A4,1.1344321102,0.0147
KLHL33,0.858547264,0.0311
PLA2G4E,1.0709190545,0.0403
C16orf46,0.6049422879,0.0100
CDYL2,0.7448607513,0.0014
SNX20,0.8317706364,0.0402
USH1G,1.1468250471,0.0398
KIF19,0.7861295161,0.0053
SPATA32,0.784909011,0.0110
CCDC43,2.1303957609,0.0270
B4GALNT2,1.1802940549,0.0146
C17orf49,0.4667764884,0.0183
GGT6,1.1165324166,0.0209
EFCAB13,0.6942663369,0.0257
ZSWIM7,0.4911509863,0.0197
SLC5A10,1.3723950084,0.0033
TTC39C,0.58967086,0.0024
FAM69C,1.1840707896,0.0030
CLDND2,0.6521576183,0.0038
ZNF57,1.8205770877,0.0158
JSRP1,0.814167481,0.0030
RINL,0.7810693651,0.0229
FBXO27,1.1751753288,0.0294
RPTN,1.0762368353,0.0301
AXDND1,1.3014224854,0.0335
OR2T12,1.1735225475,0.0352
OR2T4,1.2085174211,0.0167
ASB17,1.1668406177,0.0441
FAM213B,1.3591170125,0.0365
LRRC39,1.3934113113,0.0404
VWA5B1,0.827234103,0.0178
APOA1BP,1.6664169656,0.0346
ZNF831,0.8449088627,0.0250
SGSM1,0.805828791,0.0451
CMPK2,0.8054069441,0.0408
RBM45,0.6414320866,0.0221
RFTN2,0.7586373966,0.0085
C2orf76,0.5969637777,0.0012
LYPD6B,1.1465914311,0.0066
FBXO36,0.789795044,0.0410
KCNH8,0.8450417549,0.0193
TPRA1,1.9317173811,0.0315
COL6A6,1.2568124727,0.0024
IL31RA,0.8825943376,0.0334
ZNF474,0.758535063,0.0201
STARD4,0.8051899168,0.0477
ACOT12,0.8557703284,0.0349
HUS1B,0.6995054751,0.0087
NOBOX,1.1892115719,0.0352
ZNF786,0.53047767,0.0373
MTPN,0.5210187667,0.0113
LRGUK,0.7582468762,0.0132
TMEM71,0.7511553235,0.0181
TAF1L,0.5506833103,0.0124
PTPDC1,1.7651516,0.0347
DCAF12L1,1.2084415363,0.0102
RNF113B,1.3402406047,0.0356
ASB8,0.3446817674,0.0077
APOBEC3D,0.7205372352,0.0119
S100A16,0.7833567338,0.0338
TRIM69,0.690789424,0.0001
LINC00266-1,0.8530530317,0.0311
RBBP8NL,1.1589242169,0.0435
ITLN2,1.1332959129,0.0089
RAB40A,0.7393007203,0.0149
UBQLNL,0.8079372805,0.0369
PIWIL4,0.6286419021,0.0002
SLC2A14,0.7242151461,0.0074
CFAP54,0.757791825,0.0120
C12orf66,0.5870973202,0.0346
RDH12,1.1930450408,0.0346
SERPINA12,1.0856479221,0.0316
LRRC74A,0.6547335748,0.0028
TTC7B,1.7137503962,0.0224
HAPLN3,0.6409005908,0.0003
TTBK2,0.2515016444,0.0001
SLC38A8,1.1607444747,0.0035
ZNF688,0.7473260052,0.0313
MGAT5B,1.1649425499,0.0341
RBFOX3,0.801013175,0.0234
SLFN13,0.7818488057,0.0283
CD300LG,1.159989104,0.0280
ZNF534,0.7322492399,0.0177
KLC3,1.3226128318,0.0388
CAPN12,0.755864896,0.0403
TICAM1,0.6205723647,0.0473
SYT6,0.8998097538,0.0474
SAMD13,0.8263260792,0.0453
CIART,1.349909764,0.0212
LELP1,1.1745713037,0.0348
SHISA4,0.7486126637,0.0170
